#{"t_start": 1678199108.179441, "env_id": "Pendulum-v0"}
r,l,t
-224.165426,200,2628.257365
-124.457176,200,2632.825402
-231.209571,200,2638.139135
-119.65665,200,2642.270038
-119.352565,200,2646.531118
-122.196505,200,2653.268852
-237.600465,200,2657.440323
-230.116702,200,2661.37803
-127.894209,200,2666.830186
-120.327966,200,2671.34735
-237.250563,200,2675.347712
-122.609282,200,2679.279703
-127.59376,200,2685.336991
-125.144688,200,2689.258979
-125.934529,200,2693.131015
-121.664568,200,2698.554514
-237.815972,200,2703.364152
-116.622347,200,2707.263244
-121.230474,200,2711.217702
-122.192772,200,2717.148841
-118.619879,200,2721.118688
-120.394706,200,2725.034447
-118.658348,200,2730.426575
-122.403359,200,2735.133566
-5.453292,200,2739.127326
-119.027426,200,2743.06345
-118.681762,200,2748.969798
-121.160952,200,2752.943597
-3.553524,200,2756.924745
-123.327718,200,2762.356999
-124.325942,200,2767.377676
-126.063034,200,2771.425793
-5.304361,200,2775.795177
-3.999604,200,2781.755448
-120.194259,200,2785.688936
-123.334915,200,2789.579404
-130.57956,200,2795.072678
-120.576539,200,2799.529625
-119.189527,200,2803.456161
-115.123182,200,2807.591559
-1.525369,200,2813.363946
-127.209358,200,2817.412082
-239.833293,200,2821.400715
-120.529468,200,2827.399041
-235.453853,200,2831.707903
-120.39685,200,2835.604881
-237.755184,200,2839.935657
-231.172848,200,2845.527708
-119.123474,200,2849.419264
-125.301214,200,2853.872158
-259.308982,200,2859.911141
-228.743523,200,2865.509623
-127.632341,200,2869.601925
-296.145685,200,2875.078667
-230.086095,200,2879.360492
-219.261709,200,2883.220313
-118.603356,200,2887.290401
-119.481864,200,2893.471242
-127.145451,200,2897.475259
-223.148541,200,2901.419236
-222.118766,200,2906.949255
-5.703509,200,2911.442993
-117.797267,200,2915.642061
-124.491228,200,2919.771492
-3.766749,200,2925.649097
-123.664743,200,2929.729286
-255.942776,200,2934.408013
-127.051711,200,2940.753375
-245.533333,200,2944.915519
-121.231,200,2948.830539
-122.300081,200,2954.058241
-120.202328,200,2958.844371
-114.470122,200,2962.822535
-240.869289,200,2966.860855
-119.152941,200,2972.846641
-1.907381,200,2976.783705
-115.377401,200,2980.724876
-117.225754,200,2985.753691
-120.95389,200,2990.613379
-117.112571,200,2994.571235
-121.914787,200,2998.551408
-118.252623,200,3004.611261
-117.276126,200,3008.817734
-232.730457,200,3012.959487
-229.933364,200,3018.373641
-244.198788,200,3023.128133
-113.788318,200,3027.073379
-119.231815,200,3031.102554
-222.474968,200,3037.11706
-117.722739,200,3041.146631
-225.908726,200,3045.130623
-117.898508,200,3050.672449
-218.05913,200,3055.425759
-220.40634,200,3059.44717
-348.949307,200,3064.133491
-121.470091,200,3069.821654
-125.11276,200,3073.80656
-127.959559,200,3078.352872
-0.37523,200,3084.566577
-237.87028,200,3088.549894
-1.267489,200,3092.555255
-116.978693,200,3097.523765
-123.915348,200,3102.692042
-116.43163,200,3106.778462
-126.715519,200,3110.852766
-122.855709,200,3116.940854
-120.874998,200,3120.901319
-122.80736,200,3124.968354
-309.835842,200,3130.336278
-114.364353,200,3135.338922
-122.231011,200,3139.224408
-117.372042,200,3143.114812
-372.67101,200,3149.179788
-116.670925,200,3153.181408
-113.364685,200,3157.088386
-215.438772,200,3162.436295
-117.58977,200,3167.785441
-1.424168,200,3174.232866
-239.414889,200,3180.863156
-119.777197,200,3196.843976
-0.841026,200,3207.824
-218.811525,200,3218.633894
-237.878952,200,3232.190298
-113.636945,200,3239.33108
-118.892212,200,3246.127067
-116.816099,200,3250.267412
-225.24442,200,3254.737329
-123.930001,200,3261.402373
-114.490747,200,3266.457306
-0.698367,200,3272.562886
-226.736313,200,3280.708841
-126.766278,200,3286.893346
-119.476366,200,3293.62018
-222.955441,200,3299.344423
-118.226706,200,3304.758314
-118.097421,200,3311.459746
-122.195135,200,3317.019213
-117.223118,200,3323.628299
-224.167704,200,3329.584187
-220.578369,200,3333.919357
-115.138599,200,3340.184888
-340.498272,200,3345.442716
-0.917014,200,3350.447233
-116.748695,200,3357.03389
-124.584404,200,3363.055067
-269.771132,200,3369.219198
-116.714035,200,3376.100701
-114.537945,200,3380.269696
-239.545986,200,3385.355963
-127.405837,200,3391.548887
-120.755528,200,3397.511504
-222.711437,200,3403.964464
-117.408902,200,3409.586281
-227.599286,200,3415.813841
-115.447536,200,3422.851709
-118.512868,200,3428.686049
-122.231127,200,3435.090118
-119.552588,200,3440.453668
-0.726744,200,3444.663553
-116.661962,200,3451.230374
-122.969025,200,3457.610676
-120.081188,200,3464.125644
-115.250145,200,3471.976002
-2.502503,200,3477.611486
-117.494686,200,3483.385431
-232.73964,200,3489.224964
-120.323462,200,3494.601175
-120.660452,200,3501.797143
-124.314072,200,3507.868946
-121.181872,200,3514.41643
-226.329202,200,3519.81299
-226.923347,200,3523.988055
-117.51334,200,3528.654181
-248.172109,200,3535.360186
-224.292389,200,3540.600672
-125.067009,200,3546.683661
-221.406167,200,3552.750823
-122.290689,200,3557.719119
-114.486825,200,3564.366446
-124.559005,200,3570.341403
-223.311026,200,3575.904475
-0.104564,200,3582.922367
-116.897985,200,3588.385634
-251.958006,200,3595.018673
-126.011164,200,3602.203555
-221.516538,200,3610.274264
-122.849087,200,3617.301475
-113.800809,200,3622.452429
-229.588141,200,3629.144879
-0.276574,200,3633.551941
-126.601243,200,3638.641731
-119.289179,200,3645.510353
-127.793573,200,3651.434503
-114.82624,200,3657.12809
-124.454164,200,3663.85173
-119.957209,200,3669.560406
-123.9205,200,3676.822651
-117.079953,200,3682.519029
-116.258047,200,3688.94687
-118.286993,200,3695.353248
-217.63328,200,3700.555887
-368.459048,200,3706.469887
-118.434395,200,3712.79266
-116.284402,200,3718.06387
-123.48542,200,3724.680626
-129.72861,200,3730.060672
-7.014987,200,3735.533775
-121.470293,200,3742.414319
-123.411073,200,3747.440194
-119.929857,200,3752.9524
-5.609236,200,3760.017984
-131.869468,200,3765.527321
-134.079672,200,3772.236944
-128.759482,200,3778.289074
-246.119815,200,3782.541734
-253.527833,200,3788.906711
-128.509622,200,3794.869262
-124.945771,200,3798.998521
-125.968252,200,3805.248819
-222.450057,200,3810.737152
-126.452424,200,3816.48065
-120.927393,200,3823.505602
-127.344377,200,3829.116049
-118.375617,200,3836.087956
-217.725926,200,3841.28896
-119.195913,200,3846.502456
-121.428049,200,3853.716004
-126.812805,200,3858.729478
-126.127346,200,3863.74209
-2.869547,200,3870.597563
-218.11855,200,3876.154494
-117.963162,200,3881.943457
-228.389135,200,3888.544577
-220.487508,200,3894.374495
-129.084896,200,3901.097919
-124.50242,200,3907.597027
-2.878025,200,3913.439697
-119.332178,200,3919.902695
-116.223596,200,3924.97066
-120.511016,200,3931.461879
-118.749886,200,3936.902829
-122.064634,200,3941.840988
-118.744027,200,3948.381445
-221.730961,200,3954.498757
-117.843933,200,3960.247256
-118.235571,200,3967.325154
-119.220025,200,3973.031901
-119.355197,200,3979.633589
-119.49447,200,3985.953794
-120.178388,200,3990.813966
-121.652125,200,3998.064651
-124.127555,200,4004.254544
-122.525253,200,4011.746186
-119.083475,200,4017.233721
-224.114955,200,4022.620336
-229.147764,200,4030.561353
-362.409256,200,4036.769475
-309.57021,200,4043.515471
-335.474036,200,4049.305278
-221.384438,200,4056.419895
-123.835657,200,4063.825533
-122.708931,200,4069.79358
-3.294334,200,4077.182179
-122.4885,200,4084.940224
-0.669329,200,4092.646147
-116.753296,200,4099.17425
-224.40464,200,4106.362868
-1.061166,200,4112.208055
-1.199161,200,4117.253747
-123.881604,200,4124.176396
-119.419873,200,4129.268467
-127.377346,200,4134.285507
-236.010936,200,4141.338086
-118.366548,200,4147.232727
-0.54083,200,4154.207253
-118.609425,200,4159.898136
-113.470381,200,4164.450341
-118.844017,200,4169.319656
-0.361177,200,4174.890847
-113.909983,200,4178.948872
-118.956229,200,4183.065106
-216.098983,200,4189.211161
-125.497772,200,4193.538031
-126.020129,200,4197.580354
-119.392309,200,4203.473174
-116.790543,200,4208.18634
-225.363879,200,4212.32582
-116.943038,200,4217.109082
-124.21981,200,4222.375865
-121.263544,200,4227.446674
-122.388174,200,4232.451715
-2.231188,200,4239.438189
-217.162785,200,4245.562414
-120.050821,200,4253.987351
-123.345681,200,4260.758706
-1.049575,200,4267.786233
-118.749326,200,4273.640647
-298.504191,200,4279.758874
-115.709635,200,4286.812404
-221.426307,200,4292.413201
-124.212766,200,4299.119179
-290.307697,200,4305.57924
-122.897442,200,4312.612171
-239.208806,200,4320.279465
-216.468434,200,4327.257921
-241.381377,200,4335.285375
-2.666702,200,4340.90505
-119.797212,200,4347.121785
-234.909475,200,4352.772959
-237.041626,200,4359.312328
-0.793874,200,4367.147533
-289.985859,200,4373.903752
-347.896419,200,4380.981982
-123.578227,200,4386.710569
-122.942973,200,4391.278375
-223.918267,200,4397.293724
-119.195614,200,4401.302852
-0.074629,200,4405.308331
-116.594204,200,4410.852805
-226.629896,200,4415.397583
-0.650621,200,4420.391316
-221.113062,200,4425.488612
-225.277741,200,4430.70119
-120.990364,200,4434.831352
-246.47795,200,4438.914154
-114.529965,200,4444.962901
-116.504656,200,4448.997338
-116.881565,200,4453.148318
-122.391555,200,4458.584503
-217.849885,200,4463.482708
-116.438723,200,4469.549846
-128.123176,200,4477.048036
-219.969306,200,4483.243394
-116.744377,200,4489.44834
-117.854072,200,4497.260591
-126.408568,200,4504.132589
-117.90352,200,4514.667526
-125.124734,200,4523.674775
-127.587564,200,4530.300643
-119.439875,200,4536.89198
-115.145689,200,4544.859396
-117.640868,200,4551.538227
-226.511806,200,4558.97439
-122.35872,200,4563.215174
-251.123448,200,4567.585361
-113.867887,200,4573.927003
-246.569522,200,4578.079056
-127.916883,200,4582.305292
-237.035092,200,4588.899488
-128.302269,200,4595.872353
-125.657442,200,4603.010946
-116.245035,200,4610.270638
-124.165168,200,4617.543031
-223.512978,200,4625.441109
-121.79769,200,4632.154905
-126.808451,200,4640.859488
-227.321285,200,4648.450247
-343.39,200,4655.218417
-120.89769,200,4659.813742
-391.919434,200,4664.002097
-126.398996,200,4670.080992
-237.685389,200,4674.522994
-293.609144,200,4678.571732
-301.16965,200,4684.632485
-114.781077,200,4689.021723
-117.229257,200,4695.082191
-117.945129,200,4701.580294
-114.502032,200,4706.782612
-117.731958,200,4710.731433
-119.445811,200,4716.856467
-224.461547,200,4721.199957
-120.383176,200,4726.456925
-121.711787,200,4732.93829
-244.937543,200,4738.056628
-1.158093,200,4742.122314
-3.489476,200,4749.051892
-126.439591,200,4753.527169
-119.071263,200,4757.472654
-3.956087,200,4763.099749
-224.462843,200,4767.723895
-364.377358,200,4771.774672
-216.135422,200,4775.978966
-0.95227,200,4782.145688
-124.51983,200,4788.561194
-115.763971,200,4794.302731
-1.710368,200,4800.698847
-120.660586,200,4805.942538
-121.358267,200,4811.972742
-364.262894,200,4816.571793
-121.702403,200,4820.522408
-298.169872,200,4825.311757
-119.79415,200,4830.732288
-122.030676,200,4835.53104
-115.626511,200,4840.164978
-116.470439,200,4846.448253
-123.163225,200,4850.669758
-1.400019,200,4854.960845
-225.512517,200,4861.131801
-124.150185,200,4865.885329
-236.254026,200,4870.048047
-124.298741,200,4876.111411
-119.903025,200,4880.355057
-126.775959,200,4884.622492
-119.622675,200,4889.458138
-120.839932,200,4895.078114
-124.03762,200,4900.112015
-127.936464,200,4904.725422
-119.879251,200,4910.287965
-125.552465,200,4914.36268
-117.948407,200,4918.471748
-2.164439,200,4924.683571
-1.108965,200,4928.897532
-117.147804,200,4933.394915
-245.880541,200,4940.388109
-118.525619,200,4945.951803
-120.218322,200,4952.087949
-125.503611,200,4958.773253
-125.427348,200,4962.990037
-125.811476,200,4967.173407
-115.042619,200,4975.152852
-248.107026,200,4982.273175
-214.793119,200,4990.668643
-113.991246,200,4996.545458
-123.321875,200,5003.41392
-121.429979,200,5009.808779
-122.652143,200,5014.990303
-225.107682,200,5021.730542
-119.519891,200,5028.74447
-4.853491,200,5028.907182
